qid,leader,ccode,start_year,end_year,currency_portrait
Q312015,Alexis Tsipras,350,2015,2015,0
Q153509,Makarios,352,1960,1974,0
Q153509,Makarios,352,1974,1977,0
Q552389,Kyprianou,352,1977,1988,0
Q200776,Tassos Nikolaou Papadopoulos,352,2003,2008,0
Q57334,Dimitris Christofias,352,2008,2013,0
Q155074,Georgi Dimitrov,355,1946,1949,1
Q28517,Zhivkov,355,1956,1989,0
Q81144,Mladenov,355,1989,1990,0
Q473526,Filip Dimitrov,355,1991,1992,1
Q271473,Indzhova,355,1994,1995,0
Q202117,Stanishev,355,2005,2009,0
Q57775,Boyko Borisov,355,2009,2013,0
Q57775,Boyko Borisov,355,2014,2015,0
Q355874,Lucinschi,359,1997,2001,0
Q1371619,Pirlog,359,2009,2009,0
Q57685,Vlad Filat,359,2009,2013,0
Q58087,Iurie Leanca,359,2013,2015,0
Q19281444,Chiril Gaburici,359,2015,2015,0
Q6968023,Natalia Gherman,359,2015,2015,0
Q7911417,Valeriu Strelet,359,2015,2015,0
Q126660,Stolojan,360,1991,1992,0
Q370856,Ciorbea,360,1996,1998,0
Q352004,Vasile,360,1998,1999,0
Q1957518,Eugen Bejinariu,360,2004,2004,0
Q440970,Crin Antonescu,360,2012,2012,0
Q127442,Chernenko,365,1984,1985,0
Q30487,Gorbachev,365,1985,1991,0
Q34453,Yeltsin,365,1991,1999,0
Q7747,Putin,365,2000,2015,0
Q307473,Laar,366,1992,1994,0
Q307473,Laar,366,1999,2002,0
Q3785077,Roivas,366,2014,2015,0
Q210822,Godmanis,367,1990,1993,0
Q960031,Birkavs,367,1993,1994,0
Q540255,Indulis Emsis,367,2004,2004,0
Q210715,Aigars Kalvitis,367,2004,2007,0
Q57630,Dombrovskis,367,2009,2014,0
Q164582,Landsbergis,368,1990,1992,0
Q212751,Brazauskas,368,1992,1998,1
Q153167,Adamkus,368,1998,2003,0
Q296956,Paksas,368,2003,2004,0
Q57379,Grybauskaite,368,2009,2015,0
Q189732,Kravchuk,369,1990,1994,1
Q629702,Kuchma,369,1994,2005,0
Q16054880,Yanukovych,369,2010,2014,0
Q15850,Oleksandr Turchynov,369,2014,2014,0
Q58077,Petro Poroshenko,369,2014,2015,0
Q2866,Lukashenko,370,1994,2015,1
Q612949,Ter-Petrosyan,371,1991,1998,0
Q613051,Kocharian,371,1998,2008,0
Q218435,Gamsakhurdia,372,1991,1992,0
Q969062,Ioseliani,372,1992,1992,0
Q151929,Shevardnadze,372,1992,2003,1
Q229493,Burdjanadze,372,2003,2004,0
Q43330,Saakashvili,372,2004,2007,0
Q157451,H. Aliyev,373,1993,2003,1
Q57371,Ilhma Aliyev,373,2003,2015,1
Q202171,Paasikivi,375,1946,1956,1
Q179858,Kekkonen,375,1956,1981,1
Q29021,Koivisto,375,1981,1994,1
Q29230,Marthi Ahtisaari,375,1994,2000,0
Q29213,Halonen,375,2000,2012,0
Q29207,Sauli Niinistö,375,2012,2015,0
Q53707,Erlander,380,1946,1969,0
Q53713,Palme,380,1969,1976,0
Q53733,Ullsten,380,1978,1979,0
Q53713,Palme,380,1982,1986,0
Q53740,Carlsson,380,1986,1991,0
Q52922,Bildt,380,1991,1994,0
Q53740,Carlsson,380,1994,1996,0
Q52920,Reinfeldt,380,2006,2014,0
Q2740012,Stefan Löfven,380,2014,2015,0
Q317659,Nygaardsvold,385,1945,1945,0
Q164346,Gerhardsen,385,1945,1951,0
Q164346,Gerhardsen,385,1955,1963,0
Q164346,Gerhardsen,385,1963,1965,0
Q380659,Borten,385,1965,1971,0
Q317412,Korvald,385,1972,1973,0
Q337295,Nordli,385,1976,1981,0
Q133009,Brundtland,385,1981,1981,0
Q133009,Brundtland,385,1986,1989,0
Q311421,Syse,385,1989,1990,0
Q133009,Brundtland,385,1990,1996,0
Q207655,Bondevik,385,1997,1998,0
Q207655,Bondevik,385,1998,2000,0
Q57665,Stoltenberg,385,2000,2001,0
Q207655,Bondevik,385,2001,2005,0
Q57665,Stoltenberg,385,2005,2013,0
Q664052,Buhl,390,1945,1945,0
Q1335084,Kristensen,390,1945,1947,0
Q503087,Hedtoft,390,1947,1950,0
Q710950,Eriksen,390,1950,1953,0
Q503087,Hedtoft,390,1953,1955,0
Q721358,Hansen,390,1955,1960,0
Q918287,Kampmann,390,1960,1962,0
Q441330,Krag,390,1962,1968,0
Q727237,Baunsgaard,390,1968,1971,0
Q441330,Krag,390,1971,1972,0
Q348901,Hartling,390,1973,1975,0
Q311063,Nyrup Rasmussen,390,1993,2001,0
Q46052,Fogh Rasmussen,390,2001,2009,0
Q182397,Lars Løkke Rasmussen,390,2009,2011,0
Q57652,Thorning-Schmidt,390,2011,2015,0
Q182397,Lars Løkke Rasmussen,390,2015,2015,0
Q360353,Benediktsson,395,1963,1970,0
Q984037,Thoroddsen,395,1980,1983,0
Q208879,Halldor Asgrimsson,395,2004,2006,0
Q57772,Sigurdardottir,395,2009,2013,1
Q107431,Pires,402,1975,1991,0
Q715042,Correia Seabra,404,2003,2003,0
Q286130,Henrique Pereira Rosa,404,2003,2005,0
Q314538,Raimundo Pereira,404,2012,2012,0
Q3075634,Mamadu Ture Kuruma,404,2012,2012,0
Q57424,Manuel Serifo Nhamadjo,404,2012,2014,0
Q732636,Bonifacio Ondo Edu,411,1963,1968,1
Q57385,Nguema Mbasogo,411,1979,2015,0
Q312716,Jawara,420,1965,1994,0
Q57356,Jammeh,420,1994,2015,1
Q100280563,Traore,432,1968,1991,0
Q372679,Amadou Sanogo,432,2012,2012,0
Q372780,Dioncounda Traore,432,2012,2013,0
Q324108,Ibrahim Boubacar Keita,432,2013,2015,1
Q219728,Diouf,433,1981,2000,0
Q106963,Abdoulaye Wade,433,2000,2012,1
Q336242,Maga,434,1960,1963,0
Q336218,Soglo,434,1963,1964,0
Q888596,Congacou,434,1965,1965,0
Q336218,Soglo,434,1965,1967,0
Q888400,Kouandete,434,1969,1969,0
Q881211,Paul-Emile de Souza,434,1969,1970,0
Q336242,Maga,434,1970,1972,0
Q438852,Ahomadegbe,434,1972,1972,0
Q29196,Yayi Boni,434,2006,2015,0
Q345385,Ould Daddah,435,1960,1978,0
Q451521,Ould Mohamed Vall,435,2005,2007,1
Q314355,Diori,436,1960,1974,0
Q220227,Mamadou Tandja,436,1999,2010,0
Q1674799,Issoufou,436,2011,2015,0
Q179242,Laurent Gbagbo,437,2000,2011,0
Q57413,Ouattara,437,2011,2015,0
Q718245,Beavogui,438,1984,1984,0
Q323086,Sompare,438,2008,2008,0
Q314271,Dadis Camara,438,2008,2009,0
Q718230,Sekouba Konate,438,2009,2010,0
Q529272,Lamizana,439,1966,1971,0
Q605414,Gerard Kango Ouedraogo,439,1971,1974,0
Q529272,Lamizana,439,1974,1980,0
Q202155,Sankara,439,1983,1987,0
Q599988,Roch Marc Christian Kabore,439,2015,2015,0
Q294618,Doe,450,1980,1990,1
Q888828,Sankawulo,450,1995,1996,0
Q461668,Ruth Perry,450,1996,1997,0
Q561542,Moses Zeh Blah,450,2003,2003,0
Q43179,Johnson Sirleaf,450,2006,2015,1
Q879302,"Margai,M",451,1961,1964,0
Q359490,"Margai, A",451,1964,1967,0
Q515657,Stevens,451,1968,1985,1
Q887812,Momoh,451,1985,1992,1
Q336297,Kabbah,451,1996,1997,1
Q888792,Koroma,451,1997,1998,1
Q336297,Kabbah,451,1998,2007,1
Q8620,Nkrumah,452,1952,1966,1
Q356728,Ankrah,452,1966,1969,0
Q424377,Afrifa,452,1969,1969,0
Q472593,Acheampong,452,1972,1978,0
Q718234,Akuffo,452,1978,1979,0
Q51002,Rawlings,452,1979,1979,0
Q50997,Limann,452,1979,1981,0
Q51002,Rawlings,452,1981,2001,0
Q51005,John Agyekum Kufuor,452,2001,2009,0
Q50678,John Mahama,452,2012,2015,1
Q561303,Grunitzky,461,1963,1967,0
Q4414,Faure Gnassingbe,461,2005,2005,0
Q305669,Bonfoh,461,2005,2005,0
Q4414,Faure Gnassingbe,461,2005,2015,0
Q298718,Ahidjo,471,1960,1982,0
Q57272,Biya,471,1982,2015,0
Q335684,Balewa,475,1960,1966,0
Q354695,Gowon,475,1966,1975,0
Q373628,Ramat Mohammed,475,1975,1976,0
Q202006,Obasanjo,475,1976,1979,0
Q361567,Buhari,475,1983,1985,1
Q333415,Babangida,475,1985,1993,0
Q471351,Shonekan,475,1993,1993,0
Q207942,Abacha,475,1993,1998,0
Q262346,Abubakar,475,1998,1999,0
Q202006,Obasanjo,475,1999,2007,0
Q111149753,Yar'Adua,475,2007,2010,0
Q57380,Goodluck Jonathan,475,2010,2015,1
Q172083,Bongo,481,1967,2009,0
Q270645,Rose Francine Rogombe,481,2009,2009,0
Q57521,Ali Bongo Ondimba,481,2009,2015,0
Q310860,Dacko,482,1960,1966,0
Q310860,Dacko,482,1979,1981,0
Q57452,Francois Bozize,482,2003,2013,0
Q15633683,Catherine Samba-Panza,482,2014,2015,0
Q548636,Oueddei,483,1979,1982,0
Q454025,Ngouabi,484,1969,1977,0
Q57418,Nguesso,484,1979,1992,0
Q379725,Lissouba,484,1992,1997,0
Q57418,Nguesso,484,1997,2015,0
Q161672,Lumumba,490,1960,1960,0
Q164535,Mobutu,490,1960,1960,0
Q206048,Kasavubu,490,1960,1965,0
Q164535,Mobutu,490,1965,1997,0
Q57416,Joseph Kabila,490,2001,2015,0
Q210069,Obote,500,1962,1971,0
Q452024,Yusuf Lule,500,1979,1979,0
Q497412,Paulo Muwanga,500,1980,1980,0
Q210069,Obote,500,1980,1985,0
Q57274,Museveni,500,1986,2015,0
Q173563,Kenyatta,501,1963,1978,0
Q193492,Moi,501,1978,2002,1
Q57291,Mwai Kibaki,501,2002,2013,0
Q196070,Uhuru Kenyatta,501,2013,2015,0
Q186525,Nyerere,510,1961,1985,0
Q361581,Mwinyi,510,1985,1995,0
Q320156,Mkapa,510,1995,2005,0
