leader,ccode,start_year,end_year,idacr,qid,source,wiki_title
Berreta,165,1947,1947,URU,Q879007,fuzzy,
Batlle Berres,165,1947,1951,URU,Q728925,fuzzy,
Batlle Berres,165,1955,1956,URU,Q728925,fuzzy,
Nardone,165,1960,1961,URU,Q2518653,fuzzy,
Pacheco Areco,165,1967,1972,URU,Q367083,direct,Jorge Pacheco Areco
Jorge Batlle,165,2000,2005,URU,Q15147,fuzzy,
Tabare Vazquez,165,2005,2010,URU,Q9099,fuzzy,
Jose Mujica,165,2010,2015,URU,Q9094,fuzzy,
Tabare Vasquez,165,2015,2015,URU,Q9099,fuzzy,
Atlee,200,1945,1951,UKG,Q129006,direct,Clement Attlee
Churchill,200,1951,1955,UKG,Q8016,direct,Winston Churchill
Eden,200,1955,1957,UKG,Q128995,direct,Anthony Eden
MacMillan,200,1957,1963,UKG,Q128985,direct,Harold Macmillan
Wilson,200,1964,1970,UKG,Q128956,direct,Harold Wilson
Heath,200,1970,1974,UKG,Q128967,direct,Edward Heath
Wilson,200,1974,1976,UKG,Q128956,direct,Harold Wilson
Callaghan,200,1976,1979,UKG,Q9576,direct,James Callaghan
Thatcher,200,1979,1990,UKG,Q7416,direct,Margaret Thatcher
Major,200,1990,1997,UKG,Q9559,direct,John Major
Blair,200,1997,2007,UKG,Q9545,direct,Tony Blair
Costello,205,1948,1951,IRE,Q381690,direct,John A. Costello
Costello,205,1954,1957,IRE,Q381690,direct,John A. Costello
Lynch,205,1966,1973,IRE,Q381681,direct,Jack Lynch
Lynch,205,1977,1979,IRE,Q381681,direct,Jack Lynch
Haughey,205,1979,1981,IRE,Q333735,direct,Charles Haughey
Fitzgerald,205,1981,1982,IRE,Q1425313,direct,Garret FitzGerald
Haughey,205,1982,1982,IRE,Q333735,direct,Charles Haughey
Fitzgerald,205,1982,1987,IRE,Q1425313,direct,Garret FitzGerald
Haughey,205,1987,1992,IRE,Q333735,direct,Charles Haughey
Beel,210,1946,1948,NTH,Q735519,direct,Louis Beel
Drees,210,1948,1958,NTH,Q12769,direct,Willem Drees
Beel,210,1958,1959,NTH,Q735519,direct,Louis Beel
de Quay,210,1959,1963,NTH,Q781813,direct,Jan de Quay
Marijnen,210,1963,1965,NTH,Q719701,direct,Victor Marijnen
Cals,210,1965,1966,NTH,Q736026,direct,Jo Cals
Zijlstra,210,1966,1967,NTH,Q380970,direct,Jelle Zijlstra
De Jong,210,1967,1971,NTH,Q345481,direct,Piet de Jong
Biesheuvel,210,1971,1973,NTH,Q471204,direct,Barend Biesheuvel
den Uyl,210,1973,1977,NTH,Q318320,direct,Joop den Uyl
van Agt,210,1977,1982,NTH,Q318334,direct,Dries van Agt
Lubbers,210,1982,1994,NTH,Q159840,direct,Ruud Lubbers
Kok,210,1994,2002,NTH,Q221411,direct,Wim Kok
Jan Peter Balkenende,210,2002,2010,NTH,Q133386,direct,Jan Peter Balkenende
M. Rutte,210,2010,2015,NTH,Q57792,fuzzy,
Martens,211,1979,1981,BEL,Q313809,direct,Wilfried Martens
"Eyskens, M.",211,1981,1981,BEL,Q349477,direct,Mark Eyskens
Martens,211,1981,1992,BEL,Q313809,direct,Wilfried Martens
Charles Michel,211,2014,2015,BEL,Q950958,fuzzy,
Dupong,212,1945,1953,LUX,Q945927,direct,Pierre Dupong
Bech,212,1953,1958,LUX,Q315685,direct,Joseph Bech
Frieden,212,1958,1959,LUX,Q706106,direct,Pierre Frieden
Werner,212,1959,1974,LUX,Q315661,direct,Pierre Werner
Thorn G.,212,1974,1979,LUX,Q295128,direct,Gaston Thorn
Werner,212,1979,1984,LUX,Q315661,direct,Pierre Werner
Santer,212,1984,1995,LUX,Q39659,direct,Jacques Santer
Xavier Bettel,212,2013,2015,LUX,Q561213,fuzzy,
Bidault,220,1946,1946,FRN,Q312026,direct,Georges Bidault
Ramadier,220,1947,1947,FRN,Q328235,direct,Paul Ramadier
Schuman,220,1947,1948,FRN,Q15981,direct,Robert Schuman
Schuman,220,1948,1948,FRN,Q15981,direct,Robert Schuman
Queuille,220,1948,1949,FRN,Q455655,direct,Henri Queuille
Bidault,220,1949,1950,FRN,Q312026,direct,Georges Bidault
Queuille,220,1950,1950,FRN,Q455655,direct,Henri Queuille
Queuille,220,1951,1951,FRN,Q455655,direct,Henri Queuille
Faure,220,1952,1952,FRN,Q327013,direct,Edgar Faure
Pinay,220,1952,1952,FRN,Q356724,direct,Antoine Pinay
Laniel,220,1953,1954,FRN,Q328240,direct,Joseph Laniel
Faure,220,1955,1956,FRN,Q327013,direct,Edgar Faure
Mollet,220,1956,1957,FRN,Q314006,direct,Guy Mollet
Pflimin,220,1958,1958,FRN,Q328504,direct,Pierre Pflimlin
De Gaulle,220,1958,1969,FRN,Q2042,direct,Charles de Gaulle
Poher,220,1969,1969,FRN,Q12950,direct,Alain Poher
Pompidou,220,1969,1974,FRN,Q2185,direct,Georges Pompidou
Poher,220,1974,1974,FRN,Q12950,direct,Alain Poher
Chirac,220,1995,2007,FRN,Q2105,direct,Jacques Chirac
Hollande,220,2012,2015,FRN,Q157,fuzzy,
Doris Leuthard,225,2010,2010,SWZ,Q115442,fuzzy,
Simonetta Sommaruga,225,2015,2015,SWZ,Q122991,fuzzy,
Juan Carlos,230,1975,1975,SPN,Q19943,fuzzy,
Arias Navarro,230,1975,1976,SPN,Q365172,fuzzy,
Caetano,235,1968,1974,POR,Q310870,direct,Marcelo Caetano
Cavaco Silva,235,2006,2015,POR,Q5054729,fuzzy,
Adenauer,260,1949,1963,GFR,Q2492,direct,Konrad Adenauer
Erhard,260,1963,1966,GFR,Q2496,direct,Ludwig Erhard
Kiesinger,260,1966,1969,GFR,Q2512,direct,Kurt Georg Kiesinger
Brandt,260,1969,1974,GFR,Q2514,direct,Willy Brandt
Schmidt,260,1974,1982,GFR,Q2516,direct,Helmut Schmidt
Kohl,260,1982,1998,GFR,Q2518,direct,Helmut Kohl
Wilhelm Pieck,265,1946,1950,GDR,Q65917,direct,Wilhelm Pieck
Ulbricht,265,1950,1971,GDR,Q2628,direct,Walter Ulbricht
Honecker,265,1971,1989,GDR,Q2607,direct,Erich Honecker
Krenz,265,1989,1989,GDR,Q2602,direct,Egon Krenz
Ochab,290,1956,1956,POL,Q545740,direct,Edward Ochab
Gierek,290,1970,1980,POL,Q312185,direct,Edward Gierek
Jaruzelski,290,1981,1990,POL,Q55834,direct,Wojciech Jaruzelski
Renner,305,1945,1945,AUS,Q11726,direct,Karl Renner
Gorbach,305,1961,1964,AUS,Q29008,direct,Alfons Gorbach
Klaus,305,1964,1970,AUS,Q241131,direct,Josef Klaus
Kreisky,305,1970,1983,AUS,Q44517,direct,Bruno Kreisky
Sinowatz,305,1983,1986,AUS,Q84190,fuzzy,
Vranitzky,305,1986,1997,AUS,Q158123,direct,Franz Vranitzky
Klima,305,1997,2000,AUS,Q78538,direct,Viktor Klima
Nagy,310,1956,1956,HUN,Q177917,direct,Imre Nagy
Horn,310,1994,1998,HUN,Q155684,direct,Gyula Horn
Orban,310,1998,2002,HUN,Q57641,fuzzy,
Orban,310,2010,2015,HUN,Q57641,fuzzy,
Gottwald,315,1948,1953,CZE,Q296054,direct,Klement Gottwald
Klaus,316,1993,1997,CZR,Q241131,direct,Josef Klaus
Spidla,316,2002,2004,CZR,Q32777,fuzzy,
Stanislav Gross,316,2004,2005,CZR,Q348896,direct,Stanislav Gross
Parri,325,1945,1945,ITA,Q471315,direct,Ferruccio Parri
de Gasperi,325,1945,1953,ITA,Q153832,direct,Alcide De Gasperi
Pella,325,1953,1954,ITA,Q320963,direct,Giuseppe Pella
Fanfani,325,1954,1954,ITA,Q273228,direct,Amintore Fanfani
Scelba,325,1954,1955,ITA,Q367342,direct,Mario Scelba
Segni,325,1955,1957,ITA,Q1240,direct,Antonio Segni
Zoli,325,1957,1958,ITA,Q366104,direct,Adone Zoli
Fanfani,325,1958,1959,ITA,Q273228,direct,Amintore Fanfani
Segni,325,1959,1960,ITA,Q1240,direct,Antonio Segni
Tambroni,325,1960,1960,ITA,Q314004,direct,Fernando Tambroni
Fanfani,325,1960,1963,ITA,Q273228,direct,Amintore Fanfani
Leone,325,1963,1963,ITA,Q1235,direct,Giovanni Leone
Moro,325,1963,1968,ITA,Q171834,direct,Aldo Moro
Leone,325,1968,1968,ITA,Q1235,direct,Giovanni Leone
Rumor,325,1968,1970,ITA,Q316288,direct,Mariano Rumor
Colombo,325,1970,1972,ITA,Q312058,direct,Emilio Colombo
Andreotti,325,1972,1973,ITA,Q50005,direct,Giulio Andreotti
Rumor,325,1973,1974,ITA,Q316288,direct,Mariano Rumor
Moro,325,1974,1976,ITA,Q171834,direct,Aldo Moro
Andreotti,325,1976,1979,ITA,Q50005,direct,Giulio Andreotti
Cossiga,325,1979,1980,ITA,Q1230,direct,Francesco Cossiga
Forlani,325,1980,1981,ITA,Q434786,direct,Arnaldo Forlani
Spadolini,325,1981,1982,ITA,Q332709,direct,Giovanni Spadolini
Fanfani,325,1982,1983,ITA,Q273228,direct,Amintore Fanfani
Craxi,325,1983,1987,ITA,Q192818,direct,Bettino Craxi
Fanfani,325,1987,1987,ITA,Q273228,direct,Amintore Fanfani
Goria,325,1987,1988,ITA,Q336259,direct,Giovanni Goria
Mita,325,1988,1989,ITA,Q316226,redirect,Ciriaco de Mita
Andreotti,325,1989,1992,ITA,Q50005,direct,Giulio Andreotti
Amato,325,1992,1993,ITA,Q202209,direct,Giuliano Amato
Ciampi,325,1993,1994,ITA,Q1224,direct,Carlo Azeglio Ciampi
Berlusconi,325,1994,1995,ITA,Q11860,direct,Silvio Berlusconi
Dini,325,1995,1996,ITA,Q208100,direct,Lamberto Dini
Prodi,325,1996,1998,ITA,Q38484,direct,Romano Prodi
Amato,325,2000,2001,ITA,Q202209,direct,Giuliano Amato
Berlusconi,325,2001,2006,ITA,Q11860,direct,Silvio Berlusconi
Olivier,338,1962,1971,MLT,Q983140,redirect,Giorgio Borg Olivier
Mintoff,338,1971,1984,MLT,Q167307,direct,Dom Mintoff
Adami,338,1987,1996,MLT,Q152511,direct,Eddie Fenech Adami
Adami,338,1998,2004,MLT,Q152511,direct,Eddie Fenech Adami
Alia,339,1985,1992,ALB,Q156833,direct,Ramiz Alia
Berisha,339,1992,1997,ALB,Q57625,direct,Sali Berisha
Fatos Nano,339,1997,1998,ALB,Q311596,direct,Fatos Nano
Majko,339,1998,1999,ALB,Q381214,direct,Pandeli Majko
Majko,339,2002,2002,ALB,Q381214,direct,Pandeli Majko
Fatos Nano,339,2002,2005,ALB,Q311596,direct,Fatos Nano
Nikola Kljusev,343,1991,1992,MAC,Q1990673,fuzzy,
Radmila Sekerinska,343,2004,2004,MAC,Q162983,fuzzy,
Radmila Sekerinska,343,2004,2004,MAC,Q162983,fuzzy,
Gruevski,343,2006,2014,MAC,Q57766,fuzzy,
Kolinda Grabar-Kitarovic,344,2015,2015,CRO,Q3176299,fuzzy,
Tito,345,1945,1980,YUG,Q9161,direct,Josip Broz Tito
Kolisevski,345,1980,1980,YUG,Q470687,fuzzy,
Svetozar Marovic,345,2003,2006,YUG,Q431413,fuzzy,
Jelavic,346,1999,2000,BOS,Q355737,fuzzy,
Borislav Paravac,346,2003,2003,BOS,Q470649,fuzzy,
Dragan Covic,346,2003,2004,BOS,Q559756,fuzzy,
Sulejman Tihic,346,2004,2004,BOS,Q361173,fuzzy,
Borislav Paravac,346,2004,2005,BOS,Q470649,fuzzy,
Sulejman Tihic,346,2006,2006,BOS,Q361173,fuzzy,
Zeljko Komsic,346,2007,2008,BOS,Q297825,fuzzy,
Silajdzic,346,2008,2008,BOS,Q57381,fuzzy,
Zeljko Komsic,346,2009,2010,BOS,Q297825,fuzzy,
Silajdzic,346,2010,2010,BOS,Q57381,fuzzy,
Zeljko Komsic,346,2011,2014,BOS,Q297825,fuzzy,
Bakir Izetbegovic,346,2014,2014,BOS,Q312355,fuzzy,
Dragan Covic,346,2015,2015,BOS,Q559756,fuzzy,
Bajuk,349,2000,2000,SLV,Q434177,direct,Andrej Bajuk
Anton Rop,349,2002,2004,SLV,Q464922,direct,Anton Rop
Borut Pahor,349,2008,2012,SLV,Q206471,fuzzy,
Janez Jansa,349,2012,2013,SLV,Q57627,fuzzy,
Bratusek,349,2013,2014,SLV,Q3739767,fuzzy,
Plastiras,350,1945,1945,GRC,Q449445,direct,Nikolaos Plastiras
Voulgaris,350,1945,1945,GRC,Q1258656,direct,Petros Voulgaris
Damaskinos,350,1945,1945,GRC,Q31280,fuzzy,
Poulitsas,350,1946,1946,GRC,Q1392087,fuzzy,
Diomidis,350,1949,1950,GRC,Q589978,direct,Alexandros Diomidis
Theotokis,350,1950,1950,GRC,Q708300,fuzzy,
Plastiras,350,1950,1950,GRC,Q449445,direct,Nikolaos Plastiras
Plastiras,350,1951,1952,GRC,Q449445,direct,Nikolaos Plastiras
Kiousopoulos,350,1952,1952,GRC,Q707209,direct,Dimitrios Kiousopoulos
Papagos,350,1952,1955,GRC,Q312046,redirect,Alexander Papagos
Karamanlis,350,1955,1958,GRC,Q156806,fuzzy,
Georgakopoulos,350,1958,1958,GRC,Q728887,fuzzy,
Karamanlis,350,1958,1961,GRC,Q156806,fuzzy,
Karamanlis,350,1961,1963,GRC,Q156806,fuzzy,
Pipinelis,350,1963,1963,GRC,Q1371543,fuzzy,
Mavromichalis,350,1963,1963,GRC,Q181606,direct,Stylianos Mavromichalis
Tsirimokos,350,1965,1965,GRC,Q1371474,fuzzy,
Papadopoulos,350,1967,1973,GRC,Q156505,direct,Georgios Papadopoulos
Karamanlis,350,1974,1980,GRC,Q156806,fuzzy,
Georgios Rallis,350,1980,1981,GRC,Q252657,redirect,George Rallis
A. Papandreou,350,1981,1989,GRC,Q219256,direct,Andreas Papandreou
Tzannetakis,350,1989,1989,GRC,Q316235,fuzzy,
