qid,leader,ccode,iso3,country,start_year,end_year,theta,theta_se,theta_inst,theta_cult,gwf_regimetype,gwf_personal,gwf_years_matched
Q39524,Nasser,651,EGY,Egypt,1954,1970,0.6306869615267009,0.5700035471840857,-0.1855627417788919,0.5634072031808753,party-personal-military,1.0,17
Q57340,Mswati,572,SWZ,Eswatini,1986,2015,0.610744295326391,0.6155520404769204,-0.1078656530367769,-0.289861761813773,monarchy,0.0,25
Q34453,Yeltsin,365,RUS,Russia,1991,1999,0.5888183246537553,0.5676631361875775,-0.1814300671677927,1.5038762439467952,personal,1.0,7
Q42013,Sadat,651,EGY,Egypt,1970,1981,0.5888183246537553,0.5676631361875775,-0.1814300671677927,1.5038762439467952,party-personal-military,1.0,12
Q149724,Faisal II,645,IRQ,Iraq,1953,1958,0.5819127224464776,0.6123951595089745,-0.2932807063736047,-0.2718502929897811,monarchy,0.0,6
Q2108126,Prayuth Chan-ocha,800,THA,Thailand,2014,2015,0.5819127224464776,0.6123951595089745,-0.2932807063736047,-0.2718502929897811,,,0
Q298088,Wongsawat,800,THA,Thailand,2008,2008,0.5819127224464776,0.6123951595089745,-0.2932807063736047,-0.2718502929897811,,,0
Q469507,Mara,950,FJI,Fiji,1987,1992,0.5819127224464776,0.6123951595089745,-0.2932807063736047,-0.2718502929897811,,,0
Q55834,Jaruzelski,290,POL,Poland,1981,1990,0.5819127224464776,0.6123951595089745,-0.2932807063736047,-0.2718502929897811,party-based,0.0,9
Q718256,Burnham,110,GUY,Guyana,1966,1985,0.5564253050357235,0.5726132624701123,-0.1784313203435218,0.7360529612809035,,,0
Q220991,Girija Prasad Koirala,790,NPL,Nepal,1991,1994,0.555949368220216,0.6386559276522976,-0.1805321634670394,-0.7938277919302399,monarchy,0.0,1
Q297057,Chiluba,551,ZMB,Zambia,1991,2002,0.555949368220216,0.6386559276522976,-0.1805321634670394,-0.7938277919302399,party-based,0.0,7
Q191543,Bokassa,482,CAF,Central African Republic,1966,1979,0.545756807028516,0.6179649747168415,-0.2091400797345945,0.4517418182041183,personal,1.0,14
Q151929,Shevardnadze,372,GEO,Georgia,1992,2003,0.5427699563623597,0.5705051738903727,1.864433200206873,-0.5825734314804597,personal,1.0,12
Q57356,Jammeh,420,GMB,Gambia,1994,2015,0.5427699563623597,0.5705051738903727,1.864433200206873,-0.5825734314804597,personal,1.0,17
Q171684,Rhee,732,KOR,South Korea,1948,1960,0.5321007645505172,0.5981309948724589,-0.1769249726488748,0.1691899769212761,personal,1.0,12
Q131355,Bhutto,770,PAK,Pakistan,1971,1977,0.5213289852440397,0.5817068686273189,-0.287673538022057,0.6028536548220409,personal,1.0,3
Q41570,Hua Guofeng,710,CHN,China,1976,1980,0.5088502501727279,0.5737574141462745,-0.1740748147793766,1.6707276061818968,party-based,0.0,5
Q310247,Sardar Mohammad Daud Khan,700,AFG,Afghanistan,1953,1963,0.486768583886947,0.6213078380584128,-0.173447405637983,-0.1783649279019893,monarchy,0.0,11
Q57343,Nkurunziza,516,BDI,Burundi,2005,2015,0.486768583886947,0.6213078380584128,-0.173447405637983,-0.1783649279019893,,,0
Q605414,Gerard Kango Ouedraogo,439,BFA,Burkina Faso,1971,1974,0.486768583886947,0.6213078380584128,-0.173447405637983,-0.1783649279019893,personal,1.0,4
Q887812,Momoh,451,SLE,Sierra Leone,1985,1992,0.486768583886947,0.6213078380584128,-0.173447405637983,-0.1783649279019893,party-based,0.0,8
Q59471,Shishakli,652,SYR,Syria,1949,1954,0.4862671264635371,0.570370408034519,-0.1718796484942096,1.419459220504149,military,0.0,5
Q218435,Gamsakhurdia,372,GEO,Georgia,1991,1992,0.4808499814362,0.5507090001129186,1.8868641706855565,0.1884590207955979,personal,1.0,1
Q116430,Idris,620,LBY,Libya,1951,1969,0.4764607567211588,0.5957834542838603,-0.1717172842338703,0.3817337073400079,monarchy,0.0,18
Q131248,Lee Kuan Yew,830,SGP,Singapore,1959,1990,0.4764607567211588,0.5957834542838603,-0.1717172842338703,0.3817337073400079,party-based,0.0,25
Q272588,Ahmad Badawi,820,MYS,Malaysia,2003,2009,0.4764607567211588,0.5957834542838603,-0.1717172842338703,0.3817337073400079,party-based,0.0,7
Q315953,Ratsiraka,580,MDG,Madagascar,1975,1993,0.4764607567211588,0.5957834542838603,-0.1717172842338703,0.3817337073400079,personal,1.0,19
Q57371,Ilhma Aliyev,373,AZE,Azerbaijan,2003,2015,0.4359498299297794,0.6151580285219617,1.14285785432607,-0.5364681358221305,personal,1.0,8
Q381928,Tribhuvan,790,NPL,Nepal,1951,1955,0.43405355479917,0.6249965683947868,-0.2823567337238655,-0.0746603763765189,monarchy,0.0,5
Q57413,Ouattara,437,CIV,Ivory Coast,2011,2015,0.43405355479917,0.6249965683947868,-0.2823567337238655,-0.0746603763765189,,,0
Q295713,L. Khan,770,PAK,Pakistan,1948,1951,0.4292562995594286,0.5876520020241565,-0.167267128745911,0.703138185471107,oligarchy,0.0,4
Q368,Pinochet,155,CHL,Chile,1973,1990,0.4048023809686237,0.5822627965870238,-0.1649861565640563,0.9243831484524856,military-personal,1.0,16
Q218443,Anastasio Somoza Debayle,93,NIC,Nicaragua,1967,1979,0.3939897323282852,0.6184889722964967,-0.2793184480619033,0.1677765428582577,personal,1.0,13
Q312622,Anastasio Somoza Garcia,93,NIC,Nicaragua,1947,1956,0.3939897323282852,0.6184889722964967,-0.2793184480619033,0.1677765428582577,personal,1.0,10
Q529610,Luis Somoza Debayle,93,NIC,Nicaragua,1956,1963,0.3939897323282852,0.6184889722964967,-0.2793184480619033,0.1677765428582577,personal,1.0,8
Q561177,Kriangsak,800,THA,Thailand,1977,1980,0.371827536941299,0.6027474468079292,-0.1627354352561091,0.5236959924684013,military-personal,1.0,4
Q724156,Jagan Cheddi,110,GUY,Guyana,1992,1997,0.371827536941299,0.6027474468079292,-0.1627354352561091,0.5236959924684013,,,0
Q466001,Le Duan,816,VNM,Vietnam,1969,1986,0.3523244854783208,0.6101411002688405,0.036232035517742,0.5533830884520516,party-based,0.0,18
Q162306,Birendra,790,NPL,Nepal,1972,1990,0.3380219775671132,0.6609659558786374,-0.2765514089584333,-0.4975754319795693,monarchy,0.0,19
